Subject;Name of the Institution;Province
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100007;Museo civico di Cerchio;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100008;Museo del lupo appenninico;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100009;"Museo civico etnografico delle tradizioni popolari ""Alfonso Maria di Nola""";L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100009;"Museo civico etnografico delle tradizioni popolari ""Alfonso Maria di Nola""";L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100010;"Museo civico archeologico ""Antonio de Nino""";L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100010;"Museo civico archeologico ""Antonio de Nino""";L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100016;Museo del camoscio;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100017;Casa museo G. Mazzarino;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100018;Museo del merletto a tombolo;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100018;Museo del merletto a tombolo;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100019;Museo civico parrocchiale dell'arte presepiale;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100020;Museo civico di documentazione storico-ambientale di Rocca Pia;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100020;Museo civico di documentazione storico-ambientale di Rocca Pia;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100021;Museo cultura materiale di San Benedetto in Perillis;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100021;Museo cultura materiale di San Benedetto in Perillis;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100022;Museo di speleologia V. Rivera e Grotte di Stiffe;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100022;Museo di speleologia V. Rivera e Grotte di Stiffe;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100023;Museo della lana;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100023;Museo della lana;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100023;Museo della lana;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100023;Museo della lana;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100026;Museo civico Santissima Annunziata;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100026;Museo civico Santissima Annunziata;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100027;Museo civico del costume popolare abruzzese molisano e della transumanza;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100027;Museo civico del costume popolare abruzzese molisano e della transumanza;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100028;Museo dell'arte e della tecnologia confettiera;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100029;Museo delle tecniche fotografiche;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100029;Museo delle tecniche fotografiche;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100030;Museo ambientale di storia naturale;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100030;Museo ambientale di storia naturale;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100031;Museo 'in situ' Sala arianna del Museo archeologico;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100031;Museo 'in situ' Sala arianna del Museo archeologico;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100032;Polo museale civico diocesano - Monastero di Santa Chiara;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100032;Polo museale civico diocesano - Monastero di Santa Chiara;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100033;Museo orientale e santuario di Santa Maria dell'Oriente;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100033;Museo orientale e santuario di Santa Maria dell'Oriente;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100033;Museo orientale e santuario di Santa Maria dell'Oriente;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100033;Museo orientale e santuario di Santa Maria dell'Oriente;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100034;Museo delle tradizioni del lavoro;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100035;Centro Orso;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100036;"Mostra permanente ""Futuro remoto""";L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100036;"Mostra permanente ""Futuro remoto""";L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100037;Museo della transumanza;L'Aquila
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100038;Museo etnografico - Associazione Amuset;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100039;Casa natale di S. Camillo de Lellis;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100040;Museo della guerra per la pace;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100040;Museo della guerra per la pace;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100041;Centro di documentazione permanente sulle case di terra cruda;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100043;Museo delle tradizioni familiari;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100044;Museo d'arte Costantino Barbella;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100044;Museo d'arte Costantino Barbella;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100045;Museo universitario d'Abruzzo - Museo di storia delle scienze biomediche;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100045;Museo universitario d'Abruzzo - Museo di storia delle scienze biomediche;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100045;Museo universitario d'Abruzzo - Museo di storia delle scienze biomediche;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100045;Museo universitario d'Abruzzo - Museo di storia delle scienze biomediche;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100046;Museo dell'Abruzzo bizantino ed alto medioevo;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100046;Museo dell'Abruzzo bizantino ed alto medioevo;Chieti
